BM25_TA,BM25_FT,COSINE_TA,COSINE_FT,PMRA_TA,PMRA_FT
1,1,1,1,1,1
0.056732711,0.063373288,0.00514832,0.00464472,0.350364204,0.38481098
0.266291989,0.250040213,0.894262418,0.88677077,0.555298476,0.557356521
0.084979036,0.014353579,0.367538818,0.651764753,0.365032874,0.364444135
0.108438037,0.023615643,0.547175932,0.764715033,0.509430694,0.352904987
0.204674602,0.20229016,0.786874167,0.814412818,0.45204019,0.480783287
0.122891394,0.100747465,0.281681763,0.314868288,0.4120161,0.454884421
0.088520885,0.03120704,0.723405378,0.687359441,0.525738486,0.45634422
0.088951154,0.074487591,0.368878153,0.329803006,0.44383,0.470091967
0.137522443,0.10894328,0.377127441,0.416606656,0.365070137,0.389977644
0.090566783,0.01783354,0.412598494,0.693488716,0.539792206,0.306205429
0.083382747,0.036940353,0.530741216,0.56809021,0.447524142,0.383870118
0.067932123,0.038545906,0.47275846,0.76166726,0.432516351,0.550466842
0.099771912,0.048765223,0.401218155,0.713343754,0.539101112,0.599806869
0.074418684,0.025932891,0.798333248,0.882300509,0.567180217,0.303251559
0.07470599,0.031601094,0.422452514,0.779827755,0.41601776,0.330183181
0.081368271,0.027588492,0.27845118,0.506625009,0.427473181,0.278806732
0.084989487,0.031131875,0.636989024,0.904922084,0.541134552,0.394910072
0.016557243,0.048194945,0.000549477,0.840454798,0.311327401,0.442950724
0.085596522,0.018224117,0.659235047,0.852195982,0.51114998,0.4283106
0.100768752,0.02927778,0.463127301,0.334682547,0.483074133,0.315325574
0.081980871,0.019415055,0.859877648,0.894299529,0.552991409,0.385913374
0.105180088,0.019539996,0.909555016,0.918893316,0.64205792,0.366573157
0.142371105,0.019293584,0.138543299,0.899172766,0.431646427,0.468268334
0.185277706,0.077286888,0.395915497,0.856399699,0.499487838,0.416149136
0.107186536,0.022851586,0.338227858,0.31638537,0.460772677,0.365482504
0.094679387,0.021661094,0.401438811,0.691866557,0.465803632,0.35000625
0.210936292,0.052622331,0.708427722,0.912020895,0.5545297,0.442489906
0.146259045,0.042712793,0.763636084,0.856935861,0.492058953,0.33886692
0.18836521,0.035285865,0.301418979,0.925968086,0.506175456,0.530477832
0,0.054039032,0,0.91202089,0.354143516,0.404323194
0.149000537,0.051618347,0.403247837,0.856466437,0.45200256,0.368007743
0.064798575,0.038428849,0.173312096,0.520784828,0.382377402,0.260612296
0.189287685,0.070057997,0.470060423,0.930702831,0.535717883,0.481819243
0.206497809,0.055184221,0.25754447,0.932692204,0.481875303,0.606518359
0.065342759,0.025342782,0.589954076,0.424340748,0.401474142,0.308320262
0.165475695,0.038761802,0.787024781,0.795930426,0.550772625,0.419628034
0.113371406,0.023213876,0.723564881,0.862696027,0.489689743,0.417338554
0.08583915,0.023749985,0.464348464,0.900481399,0.506306981,0.33542823
0.151642929,0.042094405,0.182171843,0.925240079,0.448594065,0.492486672
0.176651522,0.064825708,0.534956708,0.908593878,0.504847125,0.51082117
0.144071494,0.055714828,0.754271235,0.941987206,0.536740735,0.731075227
0.152156086,0.060593158,0.145667029,0.879335357,0.433413181,0.375022217
0.192915717,0.054829294,0.830609694,0.791911838,0.563013411,0.356420355
0.156283111,0.058493987,0.227685993,0.935199967,0.473942596,0.577248144
0.112913562,0.043342849,0.515449542,0.828523486,0.556661699,0.362321173
0.180738743,0.051238903,0.873922706,0.914722495,0.566107007,0.531305161
0.016987991,0.022350362,0.000600005,0.901950295,0.367486771,0.377654914
0.097589212,0,0.760443111,0,0.428923721,0.370064415
0.056563213,0.032378814,0.011553311,0.732410298,0.373424964,0.485068789
